Date,NVDA,AAPL,MSFT,AMZN,GOOGL,AVGO,META,TSLA,WMT,AMD
2013-05-06,0.32098057866096497,14.008011817932129,27.34210205078125,12.78600025177002,21.383573532104492,2.3944613933563232,27.355329513549805,3.9666669368743896,20.37811851501465,3.609999895095825
2013-05-07,0.31680282950401306,13.945682525634766,26.985639572143555,12.886500358581543,21.27635383605957,2.3754820823669434,26.68062400817871,3.700666904449463,20.37811851501465,3.5399999618530273
2013-05-08,0.322605162858963,14.103180885314941,26.72640037536621,12.934000015258789,21.68339729309082,2.445563554763794,26.90883445739746,3.7193329334259033,20.349523544311523,3.8299999237060547
2013-05-09,0.3228372633457184,13.980141639709473,26.459047317504883,13.008000373840332,21.63003921508789,2.472574472427368,26.829458236694336,4.626667022705078,20.388526916503906,3.859999895095825
2013-05-10,0.337458997964859,13.863839149475098,26.48335075378418,13.181500434875488,21.847211837768555,2.4864437580108643,26.472261428833008,5.117332935333252,20.51595115661621,3.950000047683716
2013-05-13,0.33049628138542175,13.918009757995605,26.758804321289062,13.225500106811523,21.780200958251953,2.4543232917785645,26.611169815063477,5.853332996368408,20.414535522460938,4.170000076293945
2013-05-14,0.33537015318870544,13.585012435913086,27.35434913635254,13.416500091552734,22.017724990844727,2.4601633548736572,26.859220504760742,5.549333095550537,20.487346649169922,4.260000228881836
2013-05-15,0.34117236733436584,13.12560749053955,27.615407943725586,13.32800006866455,22.732288360595703,2.495204448699951,26.39288330078125,5.656000137329102,20.768207550048828,4.380000114440918
2013-05-16,0.3395478129386902,13.300983428955078,27.803049087524414,13.206000328063965,22.4339542388916,2.497394561767578,25.926542282104492,6.150000095367432,20.414535522460938,3.8299999237060547
2013-05-17,0.3451178967952728,13.260583877563477,28.44753646850586,13.494999885559082,22.565746307373047,2.513455629348755,26.045604705810547,6.099999904632568,20.250694274902344,4.070000171661377
2013-05-20,0.3444216549396515,13.556549072265625,28.61886215209961,13.381500244140625,22.54961395263672,2.5141851902008057,25.559419631958008,5.995999813079834,20.128463745117188,4.099999904632568
2013-05-21,0.34803733229637146,13.456462860107422,28.431222915649414,13.442999839782715,22.510892868041992,2.5616366863250732,25.460201263427734,5.8393330574035645,20.125865936279297,4.019999980926514
2013-05-22,0.33590736985206604,13.50818920135498,28.23543357849121,13.14799976348877,22.075302124023438,2.5229456424713135,24.964094161987305,5.815999984741211,20.032245635986328,3.9600000381469727
2013-05-23,0.3412726819515228,13.532370567321777,27.860149383544922,13.09000015258789,21.910749435424805,2.479874610900879,24.864870071411133,6.182000160217285,19.850208282470703,4.010000228881836
2013-05-24,0.3391730785369873,13.624496459960938,27.95805549621582,13.086999893188477,21.675704956054688,2.4893648624420166,24.120716094970703,6.4720001220703125,20.105064392089844,4.050000190734863
2013-05-28,0.3389398157596588,13.510941505432129,28.569917678833008,13.364500045776367,21.873022079467773,2.5141851902008057,23.9123477935791,7.355332851409912,20.107664108276367,4.050000190734863
2013-05-29,0.3368403911590576,13.618372917175293,28.455698013305664,13.27649974822998,21.55135726928711,2.513455629348755,23.1384220123291,6.975333213806152,19.82420539855957,3.9800000190734863
2013-05-30,0.3412726819515228,13.821295738220215,28.57806968688965,13.341500282287598,21.612165451049805,2.7609317302703857,24.358840942382812,6.99666690826416,19.668163299560547,4.039999961853027
2013-05-31,0.33754023909568787,13.76467227935791,28.472026824951172,13.460000038146973,21.623584747314453,2.754361629486084,24.160404205322266,6.517333030700684,19.462722778320312,4.0
2013-06-03,0.33707374334335327,13.794971466064453,29.034929275512695,13.343999862670898,21.534481048583984,2.722970962524414,23.664297103881836,6.172667026519775,19.683767318725586,3.9600000381469727
